#{"t_start": 1624504600.3614042, "env_id": null}
r,l,t
-1.7758187,2250,27.933262
4.3051,2250,27.933262
0.9955284,2250,27.933262
2.6713057,2250,27.933262
0.28447405,2250,27.933262
-43.496254,2250,27.933262
1.2931757,2250,27.933262
-1.1274117,2250,27.933262
3.4638307,2250,27.933262
2.8309834,2250,27.933262
2.9813607,2250,27.933262
2.8954618,2250,27.933262
-0.5607831,2250,27.933262
-1.7014904,2250,27.933262
2.3365726,2250,27.933262
-1.2825657,2250,27.933262
2.0686398,2250,27.933262
-0.7202029,2250,27.933262
5.1956577,2250,27.933262
3.5898547,2250,27.933262
4.6183586,2250,27.933262
-0.026473988,2250,27.933262
1.3825014,2250,27.933262
3.556034,2250,27.933262
-1.0909665,2250,27.933262
1.0494719,2250,27.933262
0.5467561,2250,27.933262
2.4850893,2250,27.933262
2.7783358,2250,27.933262
1.409467,2250,27.933262
3.2893524,2250,27.933262
2.4532948,2250,27.933262
6.465226,2250,27.933262
3.9851255,2250,27.933262
-0.27199063,2250,27.933262
0.25337696,2250,27.933262
-5.10199,2250,27.933262
8.122175,2250,27.933262
2.1503882,2250,27.933262
0.063306205,2250,27.933262
5.328288,2250,52.696659
-1.9916993,2250,52.696659
1.5989641,2250,52.696659
-51.482494,2250,52.696659
3.4055154,2250,52.696659
2.2844143,2250,52.696659
98.90286,2250,52.696659
-54.32533,2250,52.696659
2.8681955,2250,52.697659
2.3591826,2250,52.697659
4.3689466,2250,52.697659
-50.77288,2250,52.697659
-0.38477653,2250,52.697659
-1.112701,2250,52.697659
-0.7573117,2250,52.697659
0.8192462,2250,52.697659
0.5573893,2250,52.697659
12.870622,2250,52.697659
1.0949321,2250,52.697659
1.046708,2250,52.697659
2.7526805,2250,52.697659
-0.00050632696,2250,52.697659
0.27315238,2250,52.697659
1.8348447,2250,52.697659
6.224828,2250,52.697659
7.560549,2250,52.697659
0.6688899,2250,52.697659
3.6893601,2250,52.697659
0.29713657,2250,52.697659
1.4179211,2250,52.697659
0.29634613,2250,52.697659
0.4569199,2250,52.697659
3.323164,2250,52.697659
0.9803346,2250,52.697659
0.35899717,2250,52.697659
1.1688309,2250,52.697659
6.466831,2250,52.697659
0.7154523,2250,52.697659
7.428456,2250,52.697659
10.081015,2250,52.697659
4.100266,2250,77.544315
-1.0205605,2250,77.544315
0.5943168,2250,77.544315
-0.71443987,2250,77.544315
