#{"t_start": 1624684772.1632159, "env_id": null}
r,l,t
-18.571606,675,88.731981
-12.337569,675,88.731981
22.9513,593,128.271483
-6.416373,593,128.271483
-12.791512,675,173.280439
-10.424225,675,173.280439
6.417898,675,218.288221
-23.468702,675,218.288221
-18.05705,675,263.298223
-14.68279,675,263.298223
-8.780116,675,308.855001
-22.36615,675,308.855001
21.970448,151,318.931048
-5.758119,151,318.931048
2.2777326,675,363.560613
-5.59362,675,363.560613
9.484965,675,408.330508
-5.469264,675,408.330508
-15.5854025,675,453.338395
-15.393901,675,453.338395
-7.9856644,675,498.346009
-4.6564918,675,498.346009
-11.639575,675,543.353895
-1.6955198,675,543.353895
-9.6960335,675,588.360889
-6.674951,675,588.360889
6.753453,675,633.368779
3.1883721,675,633.368779
-12.628617,675,678.375677
-10.484375,675,678.375677
4.8458557,675,723.38442
-18.466557,675,723.38442
4.4825115,675,768.697291
-10.299922,675,768.697291
-16.94552,675,813.754151
-20.791048,675,813.754151
-1.7655383,675,857.589892
-21.59551,675,857.589892
6.1837106,675,901.900671
-18.374468,675,901.900671
